,dist_code,month,sector,investment in cr,number_of_employees,district,Mmm,quarter,fiscal_year
0,14_1,2020-01-01,Textiles,2.5,45,Mahabubnagar,Jan,Q4,2019
1,14_1,2020-01-01,Plastic and Rubber,146.25,250,Mahabubnagar,Jan,Q4,2019
2,14_1,2020-01-01,Pharmaceuticals and Chemicals,1.06,10,Mahabubnagar,Jan,Q4,2019
3,14_1,2020-01-01,Agro based incl Cold Storages,3.49,10,Mahabubnagar,Jan,Q4,2019
4,14_1,2020-01-01,Engineering,9.4745,205,Mahabubnagar,Jan,Q4,2019
5,19_1,2020-01-01,Beverages,0.07,6,Adilabad,Jan,Q4,2019
6,19_1,2020-01-01,Textiles,0.014,0,Adilabad,Jan,Q4,2019
7,20_3,2020-01-01,Beverages,0.2,15,Rajanna Sircilla,Jan,Q4,2019
8,20_3,2020-01-01,Engineering,2.26,30,Rajanna Sircilla,Jan,Q4,2019
9,20_3,2020-01-01,Paper and Printing,0.2475,20,Rajanna Sircilla,Jan,Q4,2019
10,20_3,2020-01-01,Textiles,0.5675,35,Rajanna Sircilla,Jan,Q4,2019
11,21_5,2020-01-01,Agro based incl Cold Storages,0.055,5,Mahabubabad,Jan,Q4,2019
12,21_5,2020-01-01,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.071,5,Mahabubabad,Jan,Q4,2019
13,21_5,2020-01-01,Food Processing,0.2721,11,Mahabubabad,Jan,Q4,2019
14,21_5,2020-01-01,Granite and Stone Crushing,0.131,10,Mahabubabad,Jan,Q4,2019
15,19_2,2020-01-01,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.24,15,Nirmal,Jan,Q4,2019
16,19_2,2020-01-01,Food Processing,0.1,18,Nirmal,Jan,Q4,2019
17,23_1,2020-01-01,Agro based incl Cold Storages,0.24,9,Nalgonda,Jan,Q4,2019
18,23_1,2020-01-01,Food Processing,8.5532,49,Nalgonda,Jan,Q4,2019
19,23_1,2020-01-01,Textiles,4.9,10,Nalgonda,Jan,Q4,2019
20,15_3,2020-01-01,Agro based incl Cold Storages,1.575,5,Vikarabad,Jan,Q4,2019
21,15_3,2020-01-01,Engineering,0.1,6,Vikarabad,Jan,Q4,2019
22,15_3,2020-01-01,Granite and Stone Crushing,0.1493,15,Vikarabad,Jan,Q4,2019
23,15_3,2020-01-01,Others,0.9625,20,Vikarabad,Jan,Q4,2019
